engine_type,HP or lbs thr ea engine,Max speed Knots,Rcmnd cruise Knots,Stall Knots dirty,Fuel gal/lbs,All eng rate of climb,Eng out rate of climb,Takeoff over 50ft,Landing over 50ft,Empty weight lbs,Length ft/in,Wing span ft/in,Range N.M.,Price
Piston,145.0,104.0,91.0,46.0,36,450.0,900.0,1300.0,2050.0,1180.0,25.0,37.0,370.0,1300000.0
Piston,85.0,89.0,83.0,44.0,15,600.0,720.0,800.0,1350.0,820.0,20.0,36.0,190.0,1230000.0
Piston,90.0,90.0,78.0,37.0,19,650.0,475.0,850.0,1300.0,810.0,21.0,35.0,210.0,1600000.0
Piston,85.0,88.0,78.0,37.0,19,620.0,500.0,850.0,1300.0,800.0,21.0,35.0,210.0,1300000.0
Piston,65.0,83.0,74.0,33.0,14,370.0,632.0,885.0,1220.0,740.0,21.0,35.0,175.0,1250000.0
Piston,65.0,78.0,72.0,33.0,15,360.0,583.0,880.0,1250.0,786.0,20.0,36.0,180.0,1100000.0
Piston,350.0,264.0,230.0,80.0,165,1820.0,3080.0,2100.0,6315.0,4275.0,34.0,36.0,868.0,2500000.0
Piston,290.0,262.0,247.0,77.0,165,1755.0,2250.0,2076.0,6000.0,4125.0,34.0,36.0,1020.0,2800000.0
Piston,290.0,257.0,235.0,77.0,165,1460.0,2490.0,2030.0,6000.0,4056.0,34.0,36.0,1101.0,2500000.0
Piston,290.0,257.0,237.0,77.0,165,1460.0,2490.0,2030.0,6000.0,3958.0,34.0,36.0,1174.0,3000000.0
Piston,290.0,271.0,236.0,69.0,174,1700.0,2200.0,1625.0,5700.0,3750.0,34.0,34.0,1174.0,3010000.0
Piston,290.0,220.0,212.0,74.0,165,1800.0,1950.0,1840.0,5500.0,3737.0,34.0,34.0,1200.0,2120000.0
Piston,600.0,128.0,96.0,59.0,46,1600.0,860.0,770.0,4500.0,3160.0,24.0,35.0,148.0,1450000.0
Piston,450.0,128.0,91.0,52.0,46,1060.0,1090.0,1150.0,4500.0,3100.0,25.0,42.0,190.0,1450000.0
Piston,450.0,128.0,91.0,58.0,46,990.0,1145.0,750.0,4500.0,2870.0,24.0,35.0,190.0,1400000.0
Piston,300.0,128.0,74.0,54.0,46,700.0,1200.0,1000.0,3750.0,2410.0,24.0,35.0,226.0,1150000.0
Piston,275.0,114.0,74.0,54.0,33,600.0,1275.0,1000.0,3750.0,2400.0,24.0,35.0,117.0,1025000.0
Piston,245.0,114.0,70.0,54.0,33,496.0,1300.0,1000.0,3750.0,2300.0,24.0,35.0,174.0,850000.0
Piston,220.0,114.0,70.0,48.0,33,435.0,1360.0,1000.0,3600.0,2200.0,24.0,35.0,190.0,700000.0
Piston,90.0,112.0,108.0,37.0,24,640.0,1100.0,1200.0,1450.0,930.0,20.0,30.0,410.0,1730000.0
Piston,90.0,113.0,104.0,50.0,24,600.0,1800.0,1600.0,1400.0,900.0,20.0,30.0,400.0,1600000.0
Piston,85.0,99.0,96.0,50.0,24,550.0,2100.0,1850.0,1400.0,833.0,20.0,30.0,360.0,1350000.0
Piston,150.0,116.0,109.0,43.0,39,1120.0,535.0,755.0,1650.0,1140.0,22.0,34.0,411.0,1700000.0
Piston,150.0,109.0,103.0,37.0,37,1140.0,617.0,718.0,1650.0,1050.0,22.0,34.0,411.0,1810000.0
Piston,150.0,113.0,109.0,43.0,39,1120.0,535.0,755.0,1650.0,1140.0,22.0,33.0,411.0,1700000.0
Piston,150.0,113.0,111.0,39.0,35,1145.0,457.0,690.0,1650.0,1150.0,22.0,34.0,480.0,1700000.0
Piston,115.0,109.0,107.0,44.0,35,725.0,716.0,775.0,1650.0,1067.0,22.0,33.0,301.0,1200000.0
Piston,90.0,117.0,97.0,38.0,26,700.0,1240.0,700.0,1450.0,820.0,21.0,35.0,350.0,1550000.0
Piston,160.0,168.0,160.0,63.0,80,1160.0,1805.0,1330.0,3800.0,2588.0,29.0,36.0,680.0,1740000.0
Piston,180.0,148.0,139.0,53.0,51,850.0,1550.0,1120.0,2400.0,1360.0,22.0,31.0,530.0,1380000.0
Piston,150.0,136.0,127.0,52.0,37,660.0,1600.0,1100.0,2200.0,1323.0,22.0,31.0,428.0,1265000.0
Piston,150.0,130.0,122.0,50.0,38,660.0,1600.0,1100.0,2200.0,1271.0,22.0,31.0,503.0,1265000.0
Piston,108.0,120.0,108.0,52.0,24,705.0,1590.0,1100.0,1560.0,975.0,19.0,24.0,348.0,1275000.0
Piston,108.0,120.0,109.0,51.0,24,765.0,1400.0,1065.0,1500.0,1007.0,19.0,24.0,350.0,1375000.0
Piston,600.0,122.0,96.0,61.0,54,1000.0,1200.0,800.0,6000.0,3400.0,29.0,44.0,275.0,1500000.0
Propjet,850.0,294.0,279.0,75.0,544,2450.0,3345.0,2845.0,12500.0,7538.0,43.0,54.0,1972.0,3500000.0
Propjet,850.0,290.0,272.0,75.0,544,2450.0,3345.0,2845.0,12500.0,7538.0,43.0,54.0,1870.0,3288000.0
Propjet,715.0,265.0,258.0,83.0,470,1963.0,2951.0,2679.0,11800.0,7082.0,39.0,45.0,1080.0,2485000.0
Propjet,680.0,248.0,235.0,75.0,470,1963.0,3245.0,2944.0,11500.0,6797.0,39.0,45.0,1000.0,2485000.0
Propjet,680.0,248.0,239.0,73.0,374,2200.0,1729.0,2138.0,10600.0,6440.0,39.0,45.0,1005.0,2590000.0
Propjet,750.0,279.0,265.0,79.0,470,2455.0,2808.0,2275.0,10950.0,6647.0,39.0,45.0,1235.0,3045000.0
Propjet,750.0,267.0,261.0,77.0,470,2380.0,2856.0,2275.0,10950.0,6549.0,39.0,45.0,1235.0,2980200.0
Propjet,550.0,250.0,245.0,77.0,474,1870.0,2024.0,2110.0,10100.0,5996.0,35.0,50.0,1290.0,2762000.0
Propjet,550.0,247.0,240.0,75.0,384,2137.0,2261.0,1672.0,10100.0,5765.0,35.0,50.0,1120.0,3000000.0
Propjet,550.0,223.0,217.0,76.0,384,1955.0,2261.0,1672.0,9650.0,5765.0,35.0,50.0,1120.0,2810000.0
Propjet,550.0,223.0,219.0,74.0,384,2000.0,2180.0,2010.0,9650.0,5685.0,36.0,50.0,1185.0,2720000.0
Propjet,550.0,223.0,216.0,77.0,384,1900.0,2150.0,1960.0,9300.0,5680.0,35.0,45.0,1160.0,3020000.0
Propjet,500.0,243.0,235.0,75.0,384,2000.0,1755.0,1870.0,9000.0,5680.0,35.0,45.0,1270.0,2840000.0
Piston,380.0,214.0,192.0,71.0,264,1275.0,1800.0,2311.0,8800.0,6035.0,35.0,50.0,902.0,2680000.0
Piston,380.0,216.0,196.0,70.0,200,1275.0,2556.0,2572.0,8800.0,5277.0,35.0,50.0,656.0,2680000.0
Piston,380.0,216.0,195.0,71.0,214,1275.0,1800.0,2311.0,8800.0,5120.0,35.0,50.0,716.0,2680000.0
Piston,380.0,219.0,200.0,70.0,214,1585.0,1800.0,2143.0,8500.0,4900.0,35.0,50.0,716.0,2850000.0
Piston,380.0,208.0,191.0,67.0,230,1300.0,1450.0,2070.0,8000.0,4800.0,35.0,50.0,746.0,2800000.0
