index,brand,id,name,price,size,capacity,processor,storage_type
0,MICROSOFT,10230520,"MICROSOFT 13"" Surface Pro 8 - Intel® Core™ i5, 256 GB SSD, Graphite",1099,13,256,Intel® Core™ i5,SSD
1,ACER,10225782,"ACER Swift 3 14"" Laptop - AMD Ryzen 5, 1 TB SSD, Silver",549,14,1024,AMD Ryzen 5,SSD
2,LENOVO,10207544,"LENOVO IdeaPad 3i 11.6"" Chromebook - Intel® Celeron®, 64 GB eMMC, Black",199,11.6,64,Intel® Celeron®,eMMC
3,HP,10229545,"HP Pavilion 14-ec0537sa 14"" Laptop - AMD Ryzen 5, 256 GB SSD, Blue",399,14,256,AMD Ryzen 5,SSD
4,ACER,10227187,"ACER Spin 514 14"" 2 in 1 Chromebook - AMD Ryzen 3, 128 GB eMMC, Silver",399,14,128,AMD Ryzen 3,eMMC
5,ACER,10226973,"ACER Aspire 3 A314-22 14"" Laptop - AMD Ryzen 3, 128 GB SSD, Silver",299,14,128,AMD Ryzen 3,SSD
6,HP,10207946,"HP 15s-eq1516sa 15.6"" Laptop - AMD Ryzen 3, 128 GB SSD, Silver",299,15.6,128,AMD Ryzen 3,SSD
7,DELL,10230558,"DELL Inspiron 15 3511 15.6"" Laptop - Intel® Core™ i5, 256 GB SSD, Silver",549,15.6,256,Intel® Core™ i5,SSD
8,ASUS,10231078,"ASUS CX15 15.6"" Chromebook - Intel® Celeron™, 64 GB eMMC, Silver",179,15.6,64,Intel® Celeron™,eMMC
9,LENOVO,10225082,"LENOVO Yoga 6 13.3"" 2 in 1 Laptop - AMD Ryzen 5, 256 GB SSD, Abyss Blue",699,13.3,256,AMD Ryzen 5,SSD
10,MICROSOFT,10230519,"MICROSOFT 13"" Surface Pro 8 - Intel® Core™ i5, 256 GB SSD, Platinum",1099,13,256,Intel® Core™ i5,SSD
11,ACER,10227126,"ACER 314 Touch 14"" Chromebook - MediaTek MT8183C, 128 GB eMMC, Silver",229,14,128,MediaTek MT8183C,eMMC
12,HUAWEI,10236259,"HUAWEI MateBook D 15.6"" Laptop - AMD Ryzen 5, 512 GB SSD, Silver",499,15.6,512,AMD Ryzen 5,SSD
13,HP,10229557,"HP Pavilion 14-dv0626sa 14"" Laptop - Intel® Core™ i3, 256 GB SSD, Silver",479,14,256,Intel® Core™ i3,SSD
14,LENOVO,10229598,"LENOVO IdeaPad 3i 15.6"" Chromebook - Intel® Pentium®, 64 GB eMMC, Grey",219,15.6,64,Intel® Pentium®,eMMC
15,LENOVO,10207536,"LENOVO IdeaPad 3i 14"" Chromebook - Intel® Celeron®, 64 GB eMMC, Grey",249,14,64,Intel® Celeron®,eMMC
16,ASUS,10209115,"ASUS C423 14"" Chromebook - Intel® Celeron™, 64 GB eMMC, Black & Silver",229,14,64,Intel® Celeron™,eMMC
17,ASUS,10209121,"ASUS C523 15.6"" Chromebook - Intel® Celeron™, 64 GB eMMC, Silver",299,15.6,64,Intel® Celeron™,eMMC
18,LENOVO,10223990,"LENOVO IdeaPad 3i 14"" Laptop - Intel® Pentium® Gold, 128 GB SSD, Blue",229,14,128,Intel® Pentium® Gold,SSD
19,HP,10226734,"HP ENVY x360 Convert 13.3"" 2 in 1 Laptop - Intel® Core™ i5, 256 GB SSD, Silver",849,13.3,256,Intel® Core™ i5,SSD
20,MICROSOFT,10230850,"MICROSOFT 12.3"" Surface Pro 7+ - Intel® Core™ i5, 128 GB SSD, Platinum",969,12.3,128,Intel® Core™ i5,SSD
21,LENOVO,10228904,"LENOVO IdeaPad 3i 14"" Laptop - Intel® Core™ i7, 512 GB SSD, Blue",499,14,512,Intel® Core™ i7,SSD
22,APPLE,10216298,"APPLE MacBook Air 13.3"" (2020) - M1, 256 GB SSD, Space Grey",949,13.3,256,M1,SSD
23,LENOVO,10223994,"LENOVO IdeaPad 3i 14"" Laptop - Intel® Celeron®, 128 GB SSD, Blue",199,14,128,Intel® Celeron®,SSD
24,HP,10226593,"HP 15s-eq1542sa 15.6"" Laptop - AMD 3020e, 128 GB SSD, Silver",249,15.6,128,AMD 3020e,SSD
25,LENOVO,10226931,"LENOVO IdeaPad Flex 3 11.6"" 2 in 1 Chromebook - MediaTek MT8183, 64 GB eMMC, Blue",279,11.6,64,MediaTek MT8183,eMMC
26,LENOVO,10207516,"LENOVO IdeaPad 3i 11.6"" Chromebook - Intel® Celeron®, 32 GB eMMC, Black",109,11.6,32,Intel® Celeron®,eMMC
27,HP,10218525,"HP Pavilion 14-dv0603na 14"" Laptop - Intel® Pentium® Gold, 128 GB SSD, Silver",299,14,128,Intel® Pentium® Gold,SSD
28,HP,10213288,"HP 11a-na0502sa 11.6"" Chromebook - MediaTek MT8183, 32 GB eMMC, White",219,11.6,32,MediaTek MT8183,eMMC
29,ASUS,10234434,"ASUS VivoBook X515JA 15.6"" Laptop - Intel® Core™ i3, 256 GB SSD, Silver",349,15.6,256,Intel® Core™ i3,SSD
30,ACER,10212836,"ACER Aspire 5 A514-54 14"" Laptop - Intel® Core™ i5, 512 GB SSD, Silver",449,14,512,Intel® Core™ i5,SSD
31,APPLE,10216304,"APPLE MacBook Pro 13.3"" (2020) - M1, 256 GB SSD, Space Grey",1149,13.3,256,M1,SSD
32,ASUS,10234422,"ASUS VivoBook X515JA 15.6"" Laptop - Intel® Core™ i5, 512 GB SSD, Silver",449,15.6,512,Intel® Core™ i5,SSD
33,HP,10218530,"HP Pavilion 14-dv0607na 14"" Laptop - Intel® Pentium® Gold, 128 GB SSD, White & Rose Gold",399,14,128,Intel® Pentium® Gold,SSD
34,LENOVO,10225061,"LENOVO IdeaPad Flex 5 15"" 2 in 1 Laptop - AMD Ryzen 5, 256 GB SSD, Grey",499,15,256,AMD Ryzen 5,SSD
35,ASUS,10227109,"ASUS E210MA 11.6"" Laptop - Intel® Celeron®, 64 GB eMMC, Blue",149,11.6,64,Intel® Celeron®,eMMC
36,SAMSUNG,10225755,"SAMSUNG Galaxy Book 15.6"" Laptop - Intel® Core™ i5, 256 GB SSD, Mystic Silver",549,15.6,256,Intel® Core™ i5,SSD
37,HP,10207665,"HP 14-na503sa 14"" Chromebook - Intel® Celeron®, 64 GB eMMC, White",279,14,64,Intel® Celeron®,eMMC
38,APPLE,10216322,"APPLE MacBook Pro 14"" (2021) - M1 Pro, 1 TB SSD, Silver",2155,14,1024,M1 Pro,SSD
39,HP,10222239,"HP Pavilion x360 14"" 2 in 1 Laptop - Intel® Core™ i7, 512 GB SSD, Silver",899,14,512,Intel® Core™ i7,SSD
40,ACER,10226972,"ACER Aspire 3 15.6"" Laptop - Intel® Core™ i3, 128 GB SSD, Silver",319,15.6,128,Intel® Core™ i3,SSD
41,ASUS,10227106,"ASUS E410MA 14"" Laptop - Intel® Celeron®, 64 GB eMMC, Blue",179,14,64,Intel® Celeron®,eMMC
